Address,Bedrooms,Bathrooms,Rent,Total Area,Price per Sq.Ft.,Transit Score,Type of House
123 S Green St Unit 910B Chicago,IL60607–West Loop,1,1,2300,800,2.875,90,
707 W Wayman St Chicago,IL60661–West Loop,2,2,3400,,0,87,
111 S Peoria St Unit 403 Chicago,IL60607–Fulton Market,3,3.5,7600,,0,88,
719 S Loomis St Unit GRD Chicago,IL60607–Little Italy,3,1,2000,1300,1.5384615384615385,70,
948 W Madison St Unit 5NW Chicago,IL60607–West Loop,2,2,3200,1025,3.1219512195121952,84,
336 S Wells St Unit 1209 Chicago,IL60606–Chicago Loop,Studio,1,2150,658,3.2674772036474162,100,
One Six Six 166 N Aberdeen St,Chicago,IL60607–Fulton Market,3,2,2295,432,5.3125,0,
336 S Wells St Unit 811 Chicago,IL60606–Chicago Loop,1,1,1962,552,3.5543478260869565,100,
25 S Halsted St Unit 01 Chicago,IL60661–West Loop,1,1,3264,735,4.440816326530612,92,
1240 W Monroe St Unit 11 Chicago,IL60607–Fulton Market,3,2,4300,1655,2.598187311178248,77,
735 S Clark St Unit 306 Chicago,IL60605–South Loop,1,1,2415,,0,100,
1446 W Lexington St 1446 W Lexington St,Chicago,IL60607–Little Italy,2,1,2100,900,2.3333333333333335,71,
125 S Green St 125 S Green St,Chicago,IL60607–West Loop,3,2,1884,510,3.6941176470588237,90,
4 bedroom in Chicago IL 60607 716 S Laflin St,Chicago,IL60607–Little Italy,4,3,4100,1300,3.1538461538461537,71,
1313 Randolph Street Lofts 1313 W Randolph St,Chicago,IL60607–West Loop,2,2,2099,470,4.465957446808511,72,
1000 W Washington Blvd 1000 W Washington Blvd,Chicago,IL60607–Fulton Market,3,2,3250,1451,2.2398345968297724,82,
1140 N Wells St Unit Junior Two Bedroom Suite #1.1341684 Chicago,IL60610–South Loop,2,2,14400,850,16.941176470588236,97,
1058 W Polk St Unit 1062-1R Chicago,IL60607–University Village,2,1,1400,600,2.3333333333333335,74,
1035 W Van Buren St Unit FL12-ID435 Chicago,IL60607–West Loop,1,1,3160,738,4.281842818428184,85,
Evo Union Park Apartments 1454 W Randolph St,Chicago,IL60607–West Loop,2,2,2154,473,4.553911205073995,73,
939 W Washington Blvd Unit FL6-ID290 Chicago,IL60607–Fulton Market,1,1,3620,625,5.792,87,
611 S Wells St Unit 1504T Chicago,IL60607–South Loop,1,2,2500,,0,100,
1035 W Van Buren St Unit 1810 Chicago,IL60607–West Loop,1,1,2385,,0,80,
630 S Clark St Unit 3711 Chicago,IL60605–South Loop,1,1,1900,801,2.3720349563046192,100,
Union West 939 W Washington Blvd,Chicago,IL60607–Fulton Market,2,2,1955,482,4.056016597510373,84,
