,Address,Bedrooms,Bathrooms,Rent,Total Area,Price per sqft,Type of house,Transit Score
0,1274 W Lexington St,6.0,4.0,1200000,3562.0,336.88938798427847,Luxury,74.0
1,215 N Aberdeen St UNIT 403A,1.0,1.0,299100,800.0,373.875,Single Family,78.0
2,331 S Peoria St APT 205,2.0,2.5,441700,1500.0,294.46666666666664,Single Family,87.0
4,843 S Miller St,2.0,1.0,365700,856.0,427.2196261682243,Single Family,75.0
5,215 N Green St #2,3.0,2.5,9000,3000.0,3.0,Other,78.0
9,106 N Aberdeen St UNIT 4F,1.0,2.0,314700,756.0,416.26984126984127,Single Family,79.0
11,1222 W Jackson Blvd #617,1.0,1.0,2603,762.0,3.416010498687664,Single Family,78.0
12,1213 W Lexington St,3.0,3.5,578800,2500.0,231.52,Residence,78.0
13,822 S Bishop St #1,2.0,2.0,323800,1100.0,294.3636363636364,Single Family,78.0
14,106 N Aberdeen St UNIT 3H,1.0,2.0,332400,850.0,391.05882352941177,Single Family,79.0
15,1140 W Monroe St,4.0,4.0,1197800,15000.0,79.85333333333334,Luxury,79.0
16,215 N Aberdeen St UNIT 602B,2.0,2.0,316100,950.0,332.7368421052632,Single Family,78.0
17,801 S Wells St APT 808,1.0,1.0,215000,1100.0,195.45454545454547,Single Family,78.0
20,1408 W Taylor St APT 202,3.0,2.0,408400,1540.0,265.1948051948052,Other,71.0
22,701 S Wells St APT 803,1.0,1.0,199400,650.0,306.7692307692308,Single Family,100.0
24,1500 W Monroe St UNIT 205,2.0,2.0,304900,1000.0,304.9,Single Family,78.0
25,323 S Racine Ave #2D,3.0,3.0,1040000,2160.0,481.48148148148147,Other,78.0
26,6 S Laflin St APT 714,1.0,1.0,240900,800.0,301.125,Single Family,78.0
28,823 S Bishop St,4.0,1.5,492200,1400.0,351.57142857142856,Other,78.0
29,1408 W Taylor St APT 402,3.0,2.0,466000,1540.0,302.5974025974026,Other,71.0
30,701 S Wells St APT 2801,2.0,2.0,400000,1263.0,316.7062549485352,Single Family,100.0
31,806 S Morgan St,3.0,2.5,550100,1985.0,277.1284634760705,Residence,76.0
32,1500 W Monroe St UNIT 207,2.0,1.0,329000,1070.0,307.4766355140187,Single Family,75.0
34,950 W Monroe St UNIT 708,2.0,2.0,278000,1366.0,203.5139092240117,Single Family,86.0
36,701 S Wells St APT 2406,3.0,3.0,548300,1680.0,326.3690476190476,Residence,100.0
40,14 N Peoria St STE 2B,2.0,2.0,414200,1450.0,285.6551724137931,Single Family,87.0
43,215 N Aberdeen St #B-606,2.0,2.0,445000,1200.0,370.8333333333333,Single Family,78.0
44,106 N Aberdeen St UNIT 4G,1.0,1.5,279500,800.0,349.375,Single Family,79.0
46,1041 W Taylor St #3,3.0,2.0,3200,1800.0,1.7777777777777777,Other,78.0
47,908 S Miller St,2.0,1.0,368400,900.0,409.3333333333333,Single Family,74.0
53,331 S Peoria St APT 105,2.0,3.0,429600,1550.0,277.16129032258067,Single Family,87.0
57,215 N Aberdeen St,2.0,2.0,435000,750.0,580.0,Single Family,78.0
60,1449 W Lexington St APT A,2.0,1.5,382400,1400.0,273.14285714285717,Single Family,72.0
61,6 N Bishop St #508,4.0,4.0,1095000,2306.0,474.8482220294883,Luxury,78.0
62,808 S Morgan St,3.0,3.0,570000,2350.0,242.5531914893617,Residence,76.0
63,6 S Laflin St APT 807S,2.0,2.0,469900,1260.0,372.93650793650795,Single Family,78.0
65,1500 W Monroe St UNIT 518,1.0,1.0,225000,950.0,236.8421052631579,Single Family,78.0
66,601 S Laflin St,3.0,3.5,619700,2200.0,281.6818181818182,Residence,78.0
67,1500 W Monroe St UNIT 210,1.0,1.0,250000,900.0,277.77777777777777,Single Family,78.0
69,1219 W Lexington St,3.0,4.0,600000,2074.0,289.2960462873674,Residence,78.0
70,115 S Racine Ave,4.0,3.0,966800,2500.0,386.72,Other,79.0
73,111 S Peoria St #310,2.0,2.0,900000,1653.0,544.464609800363,Residence,78.0
75,6 N Bishop St #306,3.0,2.0,725000,1500.0,483.3333333333333,Residence,78.0
76,837 S Laflin St #1N,2.0,1.0,289900,1064.0,272.4624060150376,Single Family,78.0
77,14 N Peoria St APT 5H,3.0,2.0,5750,2200.0,2.6136363636363638,Other,78.0
79,731 S Racine Ave APT A,3.0,3.0,738800,2800.0,263.85714285714283,Residence,74.0
81,823 S Racine Ave UNIT B,3.0,2.5,407000,1800.0,226.11111111111111,Other,74.0
82,1500 W Monroe St UNIT 504,2.0,2.0,356000,1100.0,323.6363636363636,Single Family,75.0
84,902 S Morgan St,3.0,2.5,940000,2614.0,359.60214231063503,Residence,76.0
87,14 N Peoria St SUITE 3F,4.0,2.0,5400,1775.0,3.0422535211267605,Other,78.0
88,1411 W Taylor St #1R,4.0,3.0,4200,1600.0,2.625,Other,78.0
89,111 S Morgan St APT 306,1.0,1.0,250000,800.0,312.5,Single Family,78.0
90,111 S Morgan St APT 607,2.0,2.0,375000,1200.0,312.5,Single Family,83.0
91,1200 W Monroe St APT 707,2.0,2.0,420000,1300.0,323.0769230769231,Single Family,77.0
96,331 S Peoria St APT 405,2.0,3.0,425000,1500.0,283.3333333333333,Single Family,87.0
97,6 S Laflin St APT 403,1.0,1.0,3095,966.0,3.2039337474120084,Single Family,78.0
98,1415 W Randolph St,1.0,1.0,1896880,748.0,2535.9358288770054,Other,73.0
102,111 S Peoria St UNIT 503,3.0,4.0,1335000,2240.0,595.9821428571429,Other,88.0
104,812 S Miller St APT G,5.0,2.0,474900,2500.0,189.96,Other,75.0
111,6 S Laflin St APT 906,3.0,3.0,1200000,2400.0,500.0,Other,76.0
115,904 S Miller St,4.0,4.0,1394000,3000.0,464.6666666666667,Luxury,74.0
116,701 S Wells St APT 2101,2.0,2.0,390000,1263.0,308.78859857482183,Single Family,78.0
117,907 S Miller St APT 3,4.0,2.0,553000,2300.0,240.43478260869566,Other,74.0
118,708 S Racine Ave,4.0,3.0,711300,2761.0,257.62404925751537,Other,74.0
119,1432 W Randolph St #1901,3.0,2.5,5117,1279.0,4.000781860828773,Other,78.0
120,812 S Miller St #3N,3.0,2.0,366300,1300.0,281.7692307692308,Other,78.0
121,31 N Morgan St UNIT 2,3.0,2.0,513300,1500.0,342.2,Residence,84.0
125,1209 W Lexington St,2.0,3.0,590000,2074.0,284.47444551591127,Residence,74.0
126,106 N Aberdeen St #2,1.0,3.0,610000,1800.0,338.8888888888889,Other,78.0
127,111 S Peoria St UNIT 504,4.0,4.0,1465000,2488.0,588.8263665594856,Luxury,88.0
131,1449 W Lexington St APT C,3.0,3.0,625600,1520.0,411.57894736842104,Residence,72.0
133,110 N Peoria St UNIT 208,1.0,1.0,369900,1200.0,308.25,Single Family,78.0
134,210 S Des Plaines St #1901,2.0,2.0,475000,1200.0,395.8333333333333,Single Family,78.0
135,2140 W Jackson Blvd #1,1.0,1.0,162100,750.0,216.13333333333333,Single Family,78.0
139,35 S Racine Ave APT 3NW,3.0,2.0,3800,1550.0,2.4516129032258065,Other,78.0
140,106 N Aberdeen St UNIT 4E,2.0,2.0,397100,1170.0,339.4017094017094,Single Family,79.0
